Group,Replicate,Fastq_1,Fastq_2,Antibody,Control,Fastq_1_url,Fastq_2_url
WT_SIN3B_IP,1,ENCFF526SSV.fastq.gz,ENCFF953OIR.fastq.gz,SIN3B,WT_INPUT,https://www.encodeproject.org/files/ENCFF526SSV/@@download/ENCFF526SSV.fastq.gz,https://www.encodeproject.org/files/ENCFF953OIR/@@download/ENCFF953OIR.fastq.gz
WT_SIN3B_IP,2,ENCFF044ZTQ.fastq.gz,ENCFF119GEQ.fastq.gz,SIN3B,WT_INPUT,https://www.encodeproject.org/files/ENCFF044ZTQ/@@download/ENCFF044ZTQ.fastq.gz,https://www.encodeproject.org/files/ENCFF119GEQ/@@download/ENCFF119GEQ.fastq.gz
WT_INPUT,1,ENCFF498JMO.fastq.gz,ENCFF502GTS.fastq.gz,,,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
WT_INPUT,2,ENCFF259GQA.fastq.gz,ENCFF837MIV.fastq.gz,,,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz
